item,size,place,observed_on,date_source,median,n
ahi poke crispy tacos,3 tacos,Gott's Napa,2011-03-22,wayback,13.99,1
airmail,,Angele Restaurant & Bar,2014-09-20,wayback,12.0,1
alabama bbq chicken,,Gott's Napa,2015-02-06,wayback,10.99,2
alabama bbq chicken,,Gott's Napa,2015-05-13,wayback,10.99,2
alabama bbq chicken,,Gott's Napa,2015-07-24,wayback,10.99,1
alabama bbq chicken,,Gott's Napa,2015-11-23,wayback,10.99,1
alabama bbq chicken,,Gott's Napa,2017-07-22,wayback,10.99,1
alambic brandy osocalis,,Angele Restaurant & Bar,2014-09-20,wayback,12.0,1
all beef hot dog,,Five Guys,2023-11-27,exif,5.6,1
all extras,,Genova Delicatessen,2026-08-05,fallback,1.5,1
all the way,,Five Guys,2023-11-27,exif,1.9,1
allegash white ale,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,6.0,1
allegash white ale,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,6.0,1
allegash white ale,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,6.0,1
alpine duet ipa,,Bistro Don Giovanni,2019-09-19,wayback,6.0,1
alpine duet ipa,,Bistro Don Giovanni,2020-03-27,wayback,6.0,1
alpine duet ipa,,Bistro Don Giovanni,2020-09-21,wayback,7.0,2
alpine duet ipa,,Bistro Don Giovanni,2021-01-27,wayback,7.0,1
americano,,McDonald's,2022-04-16,exif,3.55,1
amstel light,,Bistro Don Giovanni,2017-01-10,wayback,5.0,1
amstel light,,Bistro Don Giovanni,2019-09-19,wayback,6.0,1
amstel light,,Bistro Don Giovanni,2020-03-27,wayback,6.0,1
amstel light,,Bistro Don Giovanni,2020-09-21,wayback,7.0,2
amstel light,,Bistro Don Giovanni,2021-01-27,wayback,7.0,1
amstel light,,Bistro Don Giovanni,2022-01-20,wayback,7.0,1
amstel light,,Bistro Don Giovanni,2022-05-27,wayback,7.0,1
anchor lager,,Gott's Napa,2015-02-13,wayback,4.5,1
anchor lager,12oz,Gott's Napa,2014-10-29,wayback,4.5,1
anchor steam,,Bistro Don Giovanni,2017-01-10,wayback,5.0,1
anchor steam,,Gott's Napa,2015-05-13,wayback,6.0,2
anchor steam,,Gott's Napa,2015-07-24,wayback,6.0,1
anchor steam,,Gott's Napa,2017-07-22,wayback,7.0,1
anchor steam,,Gott's Napa,2021-01-17,wayback,7.0,1
anchor steam,16oz,Gott's Napa,2014-12-22,wayback,6.0,1
anchor steam,16oz,Gott's Napa,2015-11-23,wayback,6.0,1
anchor steam,Draft,Gott's Napa,2015-02-06,wayback,6.0,1
